x1,y1,z1,x2,y2,z2,status
3.5,1,3.5,0.1,8,8.5,NotYet
3.5,1,3.5,0.2,8,8.5,NotYet
3.5,1,3.5,0.3,8,8.5,NotYet
3.5,1,3.5,0.4,8,8.5,NotYet
3.5,1,3.5,0.6,8,8.5,NotYet
3.5,1,3.5,0.7,8,8.5,NotYet
3.5,1,3.5,0.8,8,8.5,NotYet
3.5,1,3.5,0.9,8,8.5,NotYet
3.5,1,3.5,1.1,8,8.5,NotYet
3.5,1,3.5,1.2,8,8.5,NotYet
3.5,1,3.5,1.3,8,8.5,NotYet
3.5,1,3.5,1.4,8,8.5,NotYet
