x1,y1,z1,x2,y2,z2,status
3.4,1.4,0.9,0,8,8.7,NotYet
3.4,1.4,0.9,0,8.4,5.8,NotYet
3.4,1.1,3.4,0,8,8.7,NotYet
3.4,1.1,3.4,0,8.4,5.8,NotYet
